date,labor_force,labor_force_men,labor_force_women,age_range_45-54,unemployment_level,age_range_16-19,age_range_20-24,age_range_25-34,age_range_35-44,age_range_55_and_over,ethnicity_asian,education_bachelors_degree_and_higher,ethnicity_african_american,education_highschool_no_college,ethnicity_hispanic,education_less_than_highschool,gender_men,education_some_college_or_associate_degree,ethnicity_white,gender_women
2015-1,157030.0,83597.0,73432.0,8885.0,1073.0,1486.0,2024.0,1425.0,1418.0,1425.0,356.0,1458.0,1951.0,1910.0,1745.0,939.0,4863.0,1945.0,6023.0,4022.0
2015-10,157167.0,83588.0,73579.0,7922.0,894.0,1424.0,1825.0,1346.0,1236.0,1220.0,314.0,1339.0,1741.0,1841.0,1661.0,811.0,4242.0,1642.0,5417.0,3680.0
2015-11,157463.0,83574.0,73889.0,8000.0,862.0,1507.0,1914.0,1299.0,1149.0,1312.0,359.0,1342.0,1830.0,1920.0,1674.0,742.0,4339.0,1654.0,5456.0,3661.0
2015-12,158035.0,83994.0,74041.0,7907.0,950.0,1425.0,1851.0,1310.0,1239.0,1111.0,379.0,1319.0,1656.0,1942.0,1628.0,695.0,4280.0,1566.0,5462.0,3628.0
2015-2,156644.0,83453.0,73191.0,8599.0,967.0,1557.0,1864.0,1431.0,1333.0,1448.0,359.0,1408.0,1923.0,1891.0,1758.0,919.0,4691.0,1858.0,5853.0,3908.0
2015-3,156643.0,83488.0,73155.0,8515.0,1010.0,1642.0,1981.0,1333.0,1264.0,1337.0,286.0,1225.0,1885.0,1877.0,1761.0,952.0,4647.0,1801.0,5878.0,3868.0
2015-4,157060.0,83698.0,73363.0,8550.0,987.0,1493.0,2014.0,1405.0,1317.0,1385.0,400.0,1404.0,1889.0,1938.0,1790.0,956.0,4604.0,1764.0,5824.0,3945.0
2015-5,157651.0,83949.0,73702.0,8834.0,1037.0,1605.0,2019.0,1455.0,1316.0,1315.0,379.0,1462.0,1999.0,2067.0,1779.0,970.0,4794.0,1669.0,5947.0,4040.0
2015-6,157062.0,83492.0,73570.0,8247.0,1018.0,1517.0,1930.0,1295.0,1167.0,1279.0,351.0,1292.0,1875.0,1906.0,1767.0,907.0,4464.0,1595.0,5643.0,3783.0
2015-7,156997.0,83600.0,73397.0,8167.0,920.0,1511.0,1886.0,1340.0,1254.0,1272.0,358.0,1320.0,1760.0,1950.0,1800.0,900.0,4349.0,1637.0,5608.0,3818.0
2015-8,157172.0,83615.0,73558.0,7992.0,949.0,1426.0,1761.0,1251.0,1253.0,1319.0,307.0,1244.0,1819.0,1944.0,1732.0,839.0,4287.0,1603.0,5414.0,3705.0
2015-9,156733.0,83492.0,73241.0,7907.0,925.0,1422.0,1780.0,1307.0,1137.0,1334.0,319.0,1315.0,1806.0,1870.0,1622.0,839.0,4252.0,1586.0,5367.0,3655.0
2016-1,158342.0,84111.0,74231.0,7721.0,916.0,1191.0,1781.0,1284.0,1217.0,1304.0,335.0,1321.0,1688.0,1831.0,1533.0,769.0,4093.0,1607.0,5258.0,3628.0
2016-10,159734.0,85071.0,74663.0,7827.0,931.0,1267.0,1816.0,1293.0,1184.0,1340.0,332.0,1422.0,1654.0,1952.0,1552.0,793.0,4292.0,1471.0,5460.0,3535.0
2016-11,159551.0,84954.0,74597.0,7488.0,881.0,1244.0,1728.0,1175.0,1219.0,1269.0,294.0,1279.0,1610.0,1777.0,1551.0,826.0,4089.0,1473.0,5286.0,3400.0
2016-12,159710.0,85028.0,74682.0,7495.0,849.0,1230.0,1682.0,1308.0,1133.0,1269.0,263.0,1344.0,1566.0,1814.0,1592.0,785.0,4081.0,1455.0,5265.0,3414.0
2016-2,158653.0,84445.0,74208.0,7746.0,893.0,1329.0,1756.0,1226.0,1213.0,1338.0,358.0,1317.0,1663.0,1850.0,1446.0,754.0,4153.0,1591.0,5292.0,3593.0
2016-3,159103.0,84600.0,74503.0,7945.0,936.0,1354.0,1841.0,1243.0,1227.0,1388.0,371.0,1370.0,1736.0,1900.0,1472.0,796.0,4198.0,1574.0,5418.0,3747.0
