index,date,all_employees,accom_food_services,admin_and_waste_services,arts_entertainment_and_recreation,construction,durable_goods,edu_and_health_services,educational_services,federal,finance_and_insurance,financial_activities,goods_producing,government,healthcare_and_social assistance,information,leisure_and_hospitality,local_government,mgmt_of_companies_and_enterprises,manufacturing,mining_and_logging,nondurable_goods,other_services,private,private_service_providing,professional_and_business_services,professional_and_technical_services,real_estate_and_rental_leasing,retail_trade,service-providing,state_government,trade_transportation_and_utilities,transportation_and_warehousing,year ,month
0,2015-1,140568,12790.7,8719.9,2124.7,6320,7752,21741,3439.1,2745,5990.9,8059,19500,21960,18301.4,2738,14915,14150,2195.4,12292,888,4540,5600,118608,99108,19442,8526.7,2067.7,15520.2,121068,5065,26613,4769.8,2015,1
1,2015-10,142587,13133.2,8891.2,2182.6,6547,7770,22215,3490.3,2759,6067,8168,19680,22056,18724.6,2763,15316,14213,2226.7,12362,771,4592,5630,120531,100851,19851,8733.2,2101.3,15675.4,122907,5084,26908,4898.8,2015,10
2,2015-11,142824,13174.9,8898.2,2198.6,6598,7756,22260,3502,2766,6075.2,8180,19711,22081,18758.3,2750,15374,14225,2231.1,12357,756,4601,5638,120743,101032,19885,8755.5,2105.2,15695,123113,5090,26945,4914.7,2015,11
3,2015-12,143097,13210.7,8959.1,2194.9,6630,7750,22323,3526.3,2776,6079.1,8188,19738,22097,18797,2759,15406,14233,2230.5,12362,746,4612,5653,121000,101262,19955,8765.3,2109.1,15699,123359,5088,26978,4946,2015,12
4,2015-2,140839,12843.2,8732.4,2129.2,6361,7760,21789,3448.4,2747,5998.8,8072,19537,21978,18340.8,2742,14972,14160,2198.2,12301,875,4541,5605,118861,99324,19487,8555.9,2072.7,15535.1,121302,5071,26657,4786,2015,2
5,2015-3,140910,12848.4,8724.8,2132.4,6334,7764,21832,3454.1,2748,6004.7,8081,19505,21970,18377.5,2737,14981,14155,2204.3,12312,859,4548,5607,118940,99435,19513,8584.1,2076.2,15547.7,121405,5067,26684,4799,2015,3
6,2015-4,141194,12880.4,8742.7,2142.1,6392,7763,21906,3453.3,2763,6010.9,8088,19553,22005,18452.7,2741,15023,14172,2203.9,12318,843,4555,5614,119189,99636,19557,8610.7,2077.1,15566.9,121641,5070,26707,4805.9,2015,4
7,2015-5,141525,12924.4,8802,2178.3,6427,7773,21958,3453.6,2753,6017.5,8095,19580,22012,18504,2749,15103,14185,2208.8,12333,820,4560,5623,119513,99933,19638,8627.1,2077.9,15595.9,121945,5074,26767,4828.1,2015,5
8,2015-6,141699,12947.6,8824,2160.8,6441,7772,21998,3460,2754,6033.7,8117,19591,22015,18538.4,2750,15108,14188,2211,12334,816,4562,5617,119684,100093,19689,8653.9,2083,15618.7,122108,5073,26814,4855.2,2015,6
9,2015-7,142001,13003.6,8830.1,2164.5,6472,7774,22053,3470.8,2756,6046,8137,19626,22050,18582,2753,15168,14221,2217.8,12349,805,4575,5629,119951,100325,19726,8678,2091.4,15639,122375,5073,26859,4878.6,2015,7
10,2015-8,142126,13031.9,8844.6,2168.9,6490,7774,22094,3474.2,2760,6047.1,8143,19629,22060,18620,2754,15201,14223,2219.1,12345,794,4571,5620,120066,100437,19755,8690.9,2096,15637.7,122497,5077,26870,4889.4,2015,8
